epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.051,2.71238,6.00225,2.22271,0.64963,0.47523,0.44169,0.11957,3.09088,2.12876,1.87187,0.00332977,0.00332977,0.00332977
2,260.214,1.48794,0.95339,1.17083,0.54642,0.39438,0.35484,0.09475,3.42007,2.90477,2.16552,0.00659714,0.00659714,0.00659714
3,370.564,1.38832,0.70932,1.1064,0.86758,0.39993,0.47482,0.15524,2.165,20.2593,1.54137,0.00979851,0.00979851,0.00979851
4,479.093,1.29903,0.61498,1.07229,0.69486,0.52221,0.55774,0.20439,2.7288,2.34649,1.77142,0.009703,0.009703,0.009703
5,592.74,1.22761,0.55853,1.04399,0.78635,0.5743,0.58944,0.24296,2.60418,2.64732,1.57666,0.009604,0.009604,0.009604
6,696.212,1.19348,0.53423,1.03599,0.89803,0.63607,0.70918,0.30307,2.53186,2.30037,1.53583,0.009505,0.009505,0.009505
7,799.444,1.16978,0.51626,1.0288,0.79795,0.59069,0.67218,0.29626,2.77937,2.16515,1.56221,0.009406,0.009406,0.009406
8,902.315,1.15273,0.50254,1.02079,0.8601,0.6209,0.70115,0.3245,2.76408,2.53898,1.68889,0.009307,0.009307,0.009307
9,1020.95,1.14676,0.49838,1.01572,0.72095,0.55321,0.6264,0.25568,2.8456,2.50165,1.64163,0.009208,0.009208,0.009208
10,1143.98,1.13677,0.4889,1.01552,0.83628,0.54586,0.63241,0.28758,2.81266,2.17218,1.7627,0.009109,0.009109,0.009109
11,1267.04,1.1298,0.48332,1.01169,0.85808,0.59321,0.69502,0.31867,2.58272,1.81702,1.57056,0.00901,0.00901,0.00901
12,1404.22,1.12286,0.47975,1.0094,0.84879,0.61352,0.71075,0.32817,2.54105,1.94068,1.56612,0.008911,0.008911,0.008911
13,1530.53,1.11079,0.46841,1.00588,0.8043,0.56216,0.668,0.30689,2.6755,2.10068,1.70589,0.008812,0.008812,0.008812
14,1648.64,1.10289,0.46529,0.99995,0.90377,0.62384,0.70027,0.32584,2.64078,2.26547,1.6175,0.008713,0.008713,0.008713
15,1780.4,1.10031,0.46432,1.00534,0.7871,0.60946,0.70223,0.34497,2.44515,1.81354,1.48703,0.008614,0.008614,0.008614
16,1914.1,1.09265,0.45666,0.99864,0.84244,0.5878,0.68846,0.32073,2.62263,1.47323,1.62478,0.008515,0.008515,0.008515
17,2040.15,1.09171,0.45699,1.00007,0.68523,0.62192,0.66266,0.31404,2.39246,1.47492,1.44765,0.008416,0.008416,0.008416
18,2163.36,1.08224,0.45493,0.99444,0.81006,0.57381,0.70079,0.31113,2.4075,1.48825,1.45691,0.008317,0.008317,0.008317
19,2284.25,1.0817,0.44782,0.9951,0.86703,0.63351,0.75306,0.36966,2.52983,1.89367,1.59744,0.008218,0.008218,0.008218
20,2417.03,1.07893,0.44735,0.99278,0.83443,0.62768,0.73924,0.36248,2.41726,1.78169,1.46687,0.008119,0.008119,0.008119
21,2594.51,1.07089,0.44261,0.99093,0.88457,0.59188,0.70292,0.32274,2.63702,1.48578,1.60126,0.00802,0.00802,0.00802
22,2767.47,1.06802,0.44331,0.9913,0.78201,0.61969,0.7379,0.35228,2.41998,1.5226,1.46811,0.007921,0.007921,0.007921
23,2914.91,1.06252,0.4368,0.98974,0.82354,0.60882,0.72154,0.35551,2.49479,1.6926,1.50535,0.007822,0.007822,0.007822
24,3066.28,1.05682,0.43595,0.98783,0.87605,0.56924,0.70828,0.34158,2.45748,1.36243,1.51,0.007723,0.007723,0.007723
25,3208.98,1.05839,0.43793,0.98675,0.82412,0.62001,0.71966,0.35519,2.53153,1.78271,1.53838,0.007624,0.007624,0.007624
26,3320.4,1.05135,0.43417,0.98487,0.8543,0.62001,0.72444,0.36891,2.4193,1.7558,1.48235,0.007525,0.007525,0.007525
27,3446.6,1.04948,0.43153,0.98375,0.85733,0.63378,0.75577,0.37107,2.42923,1.95377,1.50611,0.007426,0.007426,0.007426
28,3575.87,1.04639,0.42827,0.98551,0.82337,0.59146,0.72463,0.36503,2.38752,1.57382,1.46894,0.007327,0.007327,0.007327
29,3684.14,1.03903,0.42639,0.98167,0.8129,0.66539,0.75297,0.35718,2.35265,1.34452,1.43992,0.007228,0.007228,0.007228
30,3792.27,1.03556,0.42675,0.98137,0.81352,0.62768,0.74121,0.35145,2.43911,1.5605,1.48867,0.007129,0.007129,0.007129
31,3915.88,1.03953,0.4257,0.98423,0.80441,0.64931,0.74235,0.36229,2.31683,1.44471,1.43062,0.00703,0.00703,0.00703
32,4025.48,1.03156,0.42282,0.98402,0.83716,0.62598,0.73476,0.37214,2.5175,2.05439,1.5269,0.006931,0.006931,0.006931
33,4129.68,1.02494,0.41974,0.97775,0.76227,0.61074,0.69692,0.35247,2.4953,1.88355,1.50175,0.006832,0.006832,0.006832
34,4236.57,1.02238,0.41878,0.98095,0.83703,0.60404,0.72949,0.36589,2.41231,1.77279,1.47369,0.006733,0.006733,0.006733
35,4383.92,1.01716,0.41814,0.97552,0.83326,0.61968,0.73002,0.37169,2.36912,1.62787,1.45961,0.006634,0.006634,0.006634
36,4513.73,1.02223,0.41784,0.9769,0.78517,0.62607,0.73358,0.35957,2.36206,1.54882,1.44771,0.006535,0.006535,0.006535
37,4657.38,1.01251,0.41513,0.97591,0.80925,0.62256,0.72559,0.36949,2.39378,1.62143,1.45321,0.006436,0.006436,0.006436
